MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,flood_risk_label
8,2,10,2,9,10,9,7,7,5,7,10,4,7,6,7,2,9,4,4,0.4879,MEDIUM
6,10,8,5,9,8,7,9,1,6,8,1,3,4,8,8,2,9,5,4,0.4734,MEDIUM
1,2,10,3,3,1,10,6,7,8,4,4,4,3,10,8,4,3,4,10,0.3846,MEDIUM
7,5,5,1,3,9,3,6,4,3,7,8,7,10,10,3,5,3,8,8,0.4953,MEDIUM
4,10,3,4,9,6,3,1,3,4,3,1,10,2,5,1,2,7,10,4,0.4612,MEDIUM
4,3,9,5,5,3,4,5,8,2,10,10,9,3,10,1,8,6,6,2,0.4397,MEDIUM
6,5,6,3,7,1,8,6,7,10,10,10,2,4,9,4,2,1,1,7,0.4254,MEDIUM
5,4,4,3,3,7,3,3,8,8,8,8,4,4,2,7,9,1,7,7,0.5824,MEDIUM
5,8,1,8,1,4,9,6,1,4,7,1,6,10,6,3,10,9,5,3,0.4517,MEDIUM
5,2,1,8,5,1,3,8,5,1,7,8,6,9,3,7,8,7,3,6,0.4756,MEDIUM
10,1,7,3,1,1,4,7,4,9,6,7,5,7,2,5,10,8,5,6,0.5985,MEDIUM
10,8,10,4,2,9,4,10,10,8,10,9,5,10,2,5,10,9,7,1,0.5675,MEDIUM
10,10,6,6,1,5,10,4,3,7,7,5,4,3,3,4,10,5,7,2,0.4299,MEDIUM
3,2,3,9,10,9,2,2,6,10,5,9,6,4,5,1,1,2,3,8,0.4699,MEDIUM
7,3,3,4,10,9,5,8,5,3,3,6,7,8,9,8,2,9,9,9,0.539,MEDIUM
3,3,4,8,9,9,8,1,6,9,5,2,7,9,1,7,2,4,5,10,0.6383,HIGH
6,7,5,8,10,10,9,5,7,1,6,9,7,8,10,5,10,7,4,9,0.5748,MEDIUM
4,1,10,8,3,4,7,2,1,9,1,10,3,7,2,7,7,3,1,2,0.3492,LOW
7,6,6,6,8,9,7,5,6,8,9,7,6,6,6,8,6,2,3,5,0.4352,MEDIUM
8,7,5,1,1,1,7,9,8,6,9,7,9,3,5,1,6,2,7,7,0.4337,MEDIUM
6,5,6,2,3,3,5,5,5,2,9,10,10,8,5,1,3,4,4,9,0.449,MEDIUM
7,9,7,1,9,4,6,8,1,2,8,1,4,7,4,1,10,5,5,3,0.402,MEDIUM
4,9,7,1,3,1,6,1,9,10,9,4,1,10,5,2,4,5,10,1,0.424,MEDIUM
10,7,2,10,8,10,8,10,8,3,5,6,3,9,5,2,4,6,7,10,0.6216,HIGH
5,9,1,5,6,1,8,4,6,7,8,5,9,1,10,6,8,4,10,5,0.5065,MEDIUM
1,6,10,9,1,3,7,1,3,10,5,5,3,1,4,2,6,9,10,3,0.3937,MEDIUM
6,9,5,10,1,8,4,5,3,1,4,2,10,8,8,8,5,9,7,8,0.5166,MEDIUM
6,10,6,2,5,2,9,7,5,9,3,4,1,9,9,3,10,6,9,7,0.4979,MEDIUM
9,5,2,10,7,3,4,4,3,7,1,6,9,7,10,5,3,8,7,8,0.5437,MEDIUM
5,9,4,2,8,4,1,7,7,3,10,4,2,6,2,9,2,8,9,9,0.5878,MEDIUM
3,5,3,7,6,6,10,5,7,10,9,10,1,7,3,4,3,8,3,4,0.446,MEDIUM
8,2,8,10,9,10,1,3,3,4,8,10,1,1,7,6,5,9,8,1,0.4989,MEDIUM
9,5,8,8,10,6,5,2,8,7,8,6,6,4,10,9,2,9,9,10,0.5646,MEDIUM
1,8,4,8,9,2,6,10,2,6,8,10,1,9,10,5,6,9,10,7,0.4931,MEDIUM
3,7,9,4,9,5,9,9,8,7,4,9,1,3,1,8,7,2,3,4,0.4962,MEDIUM
10,7,2,3,2,10,1,6,2,9,9,2,3,10,9,9,7,2,9,3,0.5451,MEDIUM
1,8,1,7,7,10,1,2,1,8,10,3,4,8,3,10,9,3,7,9,0.5743,MEDIUM
10,4,4,5,9,7,5,10,8,1,4,6,1,7,8,6,8,9,10,7,0.67,HIGH
9,4,4,6,6,8,1,8,8,4,2,3,4,2,6,6,6,1,6,8,0.5527,MEDIUM
1,6,3,2,9,8,10,10,4,9,5,5,5,1,5,6,9,9,4,2,0.4732,MEDIUM
2,5,2,5,8,1,2,3,4,6,1,4,7,9,8,2,6,7,9,10,0.5638,MEDIUM
2,1,10,8,8,10,8,9,1,3,4,5,5,6,7,9,5,5,7,8,0.498,MEDIUM
10,5,1,4,7,7,5,1,2,7,4,3,10,6,8,4,8,9,4,2,0.6175,HIGH
6,10,8,6,8,3,10,3,8,4,2,9,7,9,4,1,3,10,2,6,0.4271,MEDIUM
9,6,5,3,4,4,3,5,2,7,6,2,9,6,5,9,4,10,7,7,0.5694,MEDIUM
1,8,4,5,5,7,8,5,7,3,2,6,10,6,9,5,2,8,5,10,0.5363,MEDIUM
2,7,2,8,1,6,1,3,3,2,9,2,7,10,9,2,5,2,4,5,0.4369,MEDIUM
5,8,7,1,10,5,9,4,8,8,5,1,3,10,3,9,7,5,4,4,0.5575,MEDIUM
1,3,7,6,1,10,10,7,3,2,9,4,7,7,8,8,2,10,7,7,0.512,MEDIUM
7,7,2,1,3,6,7,4,5,3,1,3,3,3,4,5,10,10,9,1,0.5132,MEDIUM
2,4,8,7,9,4,7,8,6,10,1,2,8,8,10,2,6,3,5,5,0.5513,MEDIUM
7,2,5,5,1,10,3,4,4,6,2,8,5,7,6,7,5,3,7,1,0.4735,MEDIUM
2,9,7,4,8,3,7,4,2,10,10,6,7,10,6,6,10,3,3,8,0.4699,MEDIUM
8,7,5,2,5,10,1,1,4,9,6,1,3,6,6,2,4,5,5,5,0.5184,MEDIUM
9,7,8,3,3,9,9,4,10,1,5,8,4,4,2,5,6,5,7,2,0.4062,MEDIUM
6,8,5,10,4,3,6,2,2,5,10,8,9,9,8,10,6,4,2,3,0.5528,MEDIUM
1,5,1,10,6,5,4,8,8,7,7,2,9,4,1,9,6,9,1,1,0.6332,HIGH
2,9,8,4,2,5,4,10,2,6,2,2,5,4,7,8,9,7,3,2,0.4076,MEDIUM
1,8,9,2,9,8,2,1,10,7,9,6,7,5,3,6,8,1,7,9,0.5463,MEDIUM
1,3,7,10,4,4,2,6,5,3,4,1,7,1,1,3,4,1,3,9,0.4239,MEDIUM
7,6,6,1,6,3,3,5,2,2,5,3,1,7,7,8,1,2,6,2,0.3389,LOW
5,6,10,10,3,1,2,7,7,4,4,9,3,3,3,3,5,1,1,6,0.4258,MEDIUM
4,10,3,3,3,1,6,7,3,1,2,10,1,2,2,4,5,9,5,4,0.2959,LOW
4,10,2,4,4,3,6,3,9,7,2,4,3,4,10,5,6,7,5,6,0.3748,MEDIUM
3,4,5,3,9,7,5,5,10,8,7,1,3,5,10,9,7,7,4,5,0.5881,MEDIUM
3,1,10,6,4,7,8,8,4,5,10,9,6,3,10,8,4,6,7,2,0.4919,MEDIUM
6,3,7,7,6,6,10,2,5,8,7,3,6,4,9,1,10,7,7,5,0.5288,MEDIUM
2,5,8,6,4,4,7,10,6,3,5,8,5,7,7,6,4,6,4,9,0.4898,MEDIUM
10,7,3,10,9,6,4,3,5,4,7,8,10,3,5,2,6,8,2,3,0.5031,MEDIUM
8,7,4,9,4,6,5,4,5,7,9,6,9,7,4,10,1,7,2,7,0.5209,MEDIUM
9,3,5,10,8,10,4,10,10,9,2,7,2,6,4,9,2,2,7,9,0.7101,HIGH
4,8,2,1,4,1,8,4,8,3,7,1,8,3,1,2,5,9,10,7,0.4926,MEDIUM
8,9,1,9,3,7,5,10,4,2,3,2,5,7,4,10,5,8,7,3,0.5733,MEDIUM
6,5,3,10,3,7,5,6,7,4,4,10,2,8,3,10,10,5,1,4,0.5865,MEDIUM
7,10,5,9,2,2,3,7,7,5,10,8,2,10,7,8,1,7,9,4,0.5334,MEDIUM
4,6,4,10,2,1,2,7,2,3,6,10,1,2,7,4,10,10,5,10,0.4793,MEDIUM
1,2,4,4,4,5,5,4,8,7,8,4,5,9,2,5,1,10,9,5,0.6588,HIGH
2,1,2,7,8,10,4,1,2,5,9,2,2,7,1,5,10,10,2,1,0.5631,MEDIUM
1,5,3,1,3,9,9,7,7,2,7,9,1,2,10,10,1,4,5,3,0.3816,MEDIUM
2,4,5,9,6,5,9,5,3,1,4,6,4,2,7,1,8,10,2,8,0.4134,MEDIUM
10,2,4,9,7,1,2,6,8,2,2,8,2,4,3,2,10,5,1,3,0.4996,MEDIUM
5,8,1,3,9,9,2,5,2,2,3,9,8,5,6,3,8,2,10,4,0.5445,MEDIUM
7,8,9,6,8,7,5,7,4,10,2,4,9,2,1,8,5,10,2,7,0.587,MEDIUM
2,10,5,3,4,3,2,6,5,1,2,4,2,6,4,6,1,7,10,7,0.4382,MEDIUM
3,7,2,7,9,5,6,6,3,6,3,8,5,2,1,3,6,5,8,2,0.5096,MEDIUM
8,10,9,10,10,5,9,9,6,7,7,10,5,9,10,10,4,1,1,6,0.4576,MEDIUM
2,10,6,7,8,6,7,4,6,6,9,5,3,3,8,2,8,3,7,7,0.4109,MEDIUM
3,6,7,6,1,5,7,1,8,1,1,2,5,5,2,4,1,7,9,7,0.3749,MEDIUM
3,5,1,9,8,2,1,1,7,7,9,10,1,5,2,8,3,9,3,1,0.4325,MEDIUM
8,7,3,4,9,2,2,6,3,3,4,3,9,3,3,3,9,3,5,1,0.5767,MEDIUM
9,5,8,6,3,9,4,6,10,10,10,5,1,1,5,2,1,9,5,8,0.5003,MEDIUM
10,2,4,6,2,2,4,6,1,6,4,6,8,3,3,9,10,3,1,7,0.5134,MEDIUM
5,2,6,8,9,1,10,8,9,4,1,3,9,1,2,1,5,2,10,5,0.4889,MEDIUM
6,4,5,2,10,6,3,9,2,5,5,8,9,7,8,5,3,9,1,3,0.5067,MEDIUM
2,9,9,10,4,1,7,4,6,8,9,1,4,8,9,10,2,3,2,4,0.4604,MEDIUM
10,8,5,4,7,10,10,1,6,6,9,6,6,8,6,10,10,5,1,9,0.6011,HIGH
5,3,10,1,7,10,7,10,1,5,6,3,9,10,9,7,1,7,2,1,0.4489,MEDIUM
7,6,7,8,4,4,8,5,6,8,1,2,7,6,3,8,7,2,4,7,0.51,MEDIUM
9,2,5,10,9,1,3,6,4,1,9,5,4,8,7,10,10,3,10,7,0.6446,HIGH
5,5,5,8,8,3,6,1,9,5,3,4,3,5,3,4,5,9,1,1,0.4456,MEDIUM
5,2,8,3,5,2,6,6,4,7,10,2,6,9,6,6,8,5,10,1,0.6087,HIGH
7,3,8,10,7,1,3,5,3,6,8,1,4,4,4,3,10,6,10,5,0.603,HIGH
6,3,4,2,6,9,3,9,7,4,1,5,1,3,10,7,7,3,10,10,0.5572,MEDIUM
2,8,3,2,8,5,3,10,3,3,1,5,2,7,8,9,3,2,6,4,0.4432,MEDIUM
10,3,7,7,10,4,8,1,7,4,3,6,1,4,2,4,10,3,9,1,0.5303,MEDIUM
5,9,6,1,3,3,1,7,2,10,1,2,10,4,4,4,6,10,4,8,0.5128,MEDIUM
10,8,2,10,1,1,1,1,3,10,6,7,2,7,3,3,6,7,5,8,0.4703,MEDIUM
2,9,6,6,10,5,1,8,10,10,3,4,1,5,6,4,3,4,2,7,0.5104,MEDIUM
8,8,9,2,5,6,7,5,8,5,4,8,1,2,10,5,6,4,10,2,0.3406,LOW
2,8,8,7,7,7,6,1,6,3,8,7,2,3,1,10,3,9,2,6,0.4289,MEDIUM
8,9,1,7,2,10,1,3,3,4,2,2,7,8,9,8,1,7,8,7,0.5679,MEDIUM
4,6,4,3,3,4,8,2,9,6,10,3,2,3,7,9,5,9,6,7,0.544,MEDIUM
4,8,2,2,5,3,10,5,4,1,1,1,4,8,6,4,10,9,10,3,0.4509,MEDIUM
4,2,4,3,5,7,6,10,9,7,7,10,4,3,8,9,5,2,8,9,0.5512,MEDIUM
4,8,7,6,10,2,6,4,9,3,1,2,2,5,1,7,6,3,7,7,0.5514,MEDIUM
5,3,7,8,4,6,2,3,8,3,5,6,6,4,4,8,6,7,6,7,0.5596,MEDIUM
10,8,7,5,9,8,9,5,10,7,3,3,5,10,5,6,2,1,5,7,0.6374,HIGH
3,6,1,7,10,3,10,7,6,7,9,6,2,3,1,7,3,8,7,8,0.5837,MEDIUM
3,10,4,6,1,10,8,10,4,5,5,3,2,3,10,2,5,7,6,1,0.3185,LOW
3,3,4,5,8,8,9,1,5,6,8,10,8,3,6,2,9,5,1,8,0.4912,MEDIUM
1,4,4,10,9,3,2,5,8,9,3,4,4,8,3,1,10,5,6,2,0.5819,MEDIUM
7,8,7,8,1,7,4,7,4,3,9,7,4,1,2,2,3,3,1,1,0.4294,MEDIUM
9,5,9,5,3,7,5,9,4,4,4,7,8,10,7,1,9,3,9,10,0.5658,MEDIUM
7,8,2,4,7,1,6,5,10,5,7,10,3,1,9,6,7,5,10,1,0.4334,MEDIUM
2,4,3,5,10,6,2,10,4,6,1,1,2,2,6,5,7,2,8,6,0.4788,MEDIUM
9,1,9,1,4,9,9,10,1,5,5,2,1,5,1,5,4,2,6,7,0.475,MEDIUM
7,9,6,2,4,6,4,9,2,5,9,4,8,5,8,6,6,9,1,4,0.4493,MEDIUM
1,10,1,2,7,9,6,7,5,8,2,8,8,9,5,1,2,10,1,3,0.4212,MEDIUM
8,2,7,10,9,9,4,8,2,7,2,2,6,9,7,7,9,7,2,2,0.6347,HIGH
10,10,8,7,8,6,10,9,4,4,3,7,2,8,1,6,1,6,9,4,0.5446,MEDIUM
6,4,5,6,9,2,10,6,7,6,8,3,9,6,4,6,4,4,10,10,0.6158,HIGH
9,3,5,3,7,7,3,2,8,8,6,9,1,2,6,9,5,7,7,9,0.5022,MEDIUM
8,10,4,1,4,1,3,9,6,4,3,8,3,8,7,7,10,9,4,5,0.49,MEDIUM
6,2,6,1,3,6,3,9,6,5,7,2,4,1,9,8,4,1,9,10,0.5645,MEDIUM
8,3,1,8,4,9,3,8,8,8,8,2,2,9,5,3,6,3,8,9,0.6534,HIGH
7,4,1,10,1,1,8,2,3,2,1,3,5,3,4,5,5,8,4,1,0.4002,MEDIUM
6,8,8,8,2,10,7,2,10,10,8,2,7,6,10,7,6,7,7,8,0.5784,MEDIUM
7,5,1,10,10,7,9,4,4,5,5,1,1,10,6,3,3,5,3,7,0.5075,MEDIUM
6,4,8,10,4,3,3,2,10,2,5,4,10,1,8,1,6,5,8,4,0.4982,MEDIUM
7,1,2,6,8,10,2,2,6,1,2,1,2,7,3,7,1,1,9,1,0.5285,MEDIUM
3,7,6,9,10,4,5,8,6,10,8,9,4,4,6,5,9,9,4,6,0.5779,MEDIUM
8,2,10,3,2,5,10,7,8,10,2,5,7,4,9,7,7,5,4,3,0.4145,MEDIUM
1,4,2,8,3,7,7,6,3,9,3,5,7,9,6,5,10,3,8,3,0.5158,MEDIUM
5,1,1,1,3,1,9,7,1,2,5,7,1,6,2,10,1,9,6,5,0.4622,MEDIUM
4,3,8,2,7,4,1,4,4,6,7,4,7,10,4,1,2,1,1,1,0.4073,MEDIUM
10,1,9,10,10,4,2,9,8,9,2,1,5,9,1,3,9,4,6,5,0.758,HIGH
2,6,9,10,3,10,1,10,4,1,5,4,8,7,7,2,4,7,7,3,0.4896,MEDIUM
9,1,9,2,3,3,7,9,2,6,10,5,8,5,8,1,6,4,2,2,0.4368,MEDIUM
1,6,9,4,4,1,10,7,8,4,10,8,10,9,5,3,2,9,10,2,0.4873,MEDIUM
5,3,7,10,4,8,7,6,1,2,7,8,7,8,2,9,8,8,7,3,0.5044,MEDIUM
9,9,4,7,4,7,9,9,6,1,2,7,3,8,7,3,10,3,3,7,0.3796,MEDIUM
7,7,8,9,9,1,10,4,8,7,2,7,6,3,3,9,10,9,10,1,0.4668,MEDIUM
8,5,10,10,4,6,10,9,2,3,6,6,10,8,8,8,3,7,6,10,0.5838,MEDIUM
8,7,5,1,9,4,9,6,9,1,6,1,2,5,2,8,2,7,6,8,0.4946,MEDIUM
9,10,4,10,2,3,10,6,7,6,2,9,9,8,2,2,5,9,7,1,0.5801,MEDIUM
1,6,1,1,10,3,5,5,10,3,9,8,9,8,6,8,1,4,1,3,0.4497,MEDIUM
10,4,1,2,2,3,6,1,2,9,7,1,8,5,3,10,1,7,10,6,0.5796,MEDIUM
3,3,3,4,4,7,10,4,2,9,1,7,3,1,1,8,4,1,3,5,0.4506,MEDIUM
3,7,7,3,5,10,8,6,4,8,5,1,6,8,2,5,5,7,10,6,0.6414,HIGH
7,8,5,1,7,9,8,4,6,5,5,6,4,5,6,2,5,7,7,9,0.5547,MEDIUM
9,7,6,9,4,5,9,4,5,9,4,6,9,7,3,7,8,4,7,7,0.615,HIGH
5,9,6,4,3,1,8,8,6,9,8,1,9,10,5,4,3,7,10,9,0.6076,HIGH
4,5,5,4,7,10,6,9,1,6,1,5,6,1,6,1,10,3,9,5,0.4959,MEDIUM
7,8,3,1,1,8,4,5,3,10,4,10,1,8,8,4,8,3,10,6,0.4811,MEDIUM
5,6,1,4,9,1,2,7,3,6,9,6,2,6,1,3,1,5,6,1,0.4613,MEDIUM
3,9,2,5,4,6,4,2,3,8,10,5,4,4,8,10,6,4,2,2,0.4117,MEDIUM
2,3,4,6,10,1,5,3,7,6,3,8,5,3,9,7,7,3,6,2,0.4276,MEDIUM
1,9,6,8,4,9,4,9,6,6,5,6,2,5,7,1,10,2,10,4,0.4654,MEDIUM
6,2,2,8,5,6,6,6,4,8,1,7,3,8,3,9,2,7,8,4,0.5374,MEDIUM
4,8,5,7,2,3,2,6,8,6,7,3,7,5,2,3,7,1,9,5,0.5556,MEDIUM
9,2,9,8,7,3,1,10,10,1,7,10,4,2,10,7,4,1,4,10,0.5382,MEDIUM
10,6,2,7,8,1,5,6,1,6,10,10,9,3,3,7,8,4,2,3,0.5258,MEDIUM
4,5,4,9,9,9,1,5,9,6,2,5,3,1,3,6,10,4,7,5,0.648,HIGH
6,1,3,9,3,4,2,4,5,3,8,6,6,8,7,8,3,10,10,2,0.5377,MEDIUM
2,6,5,10,1,5,5,4,2,9,4,5,4,7,10,6,4,2,1,3,0.37,MEDIUM
10,8,8,2,2,6,1,7,3,10,2,8,10,3,7,6,2,8,4,3,0.4213,MEDIUM
9,2,7,3,10,2,1,9,8,4,10,3,3,2,10,9,4,7,10,2,0.5031,MEDIUM
6,8,4,8,7,8,2,1,6,3,10,9,8,8,1,8,5,6,10,10,0.6356,HIGH
2,6,4,1,5,5,6,1,1,3,1,3,7,9,4,9,8,9,10,1,0.4618,MEDIUM
4,5,6,1,3,10,6,9,7,8,7,1,4,1,5,1,10,4,5,7,0.5772,MEDIUM
8,6,5,2,9,3,4,7,9,9,2,1,2,4,9,3,8,3,2,1,0.4808,MEDIUM
6,2,4,4,5,7,1,2,9,5,3,3,1,2,4,9,9,3,6,4,0.4924,MEDIUM
3,1,9,4,2,7,9,2,7,4,7,1,4,9,10,2,8,4,7,10,0.5464,MEDIUM
1,8,9,10,5,8,7,8,3,1,1,1,6,3,2,5,2,1,8,1,0.4433,MEDIUM
8,2,7,4,5,9,6,1,9,10,6,2,3,4,8,1,9,6,2,2,0.5177,MEDIUM
10,2,10,5,5,6,5,6,7,10,8,3,10,7,6,6,7,2,10,3,0.6076,HIGH
8,7,8,2,4,8,8,2,9,9,7,3,7,4,10,6,7,2,3,7,0.4283,MEDIUM
7,8,9,4,1,6,6,8,4,8,2,4,9,9,8,5,1,3,3,4,0.3962,MEDIUM
5,7,2,5,5,7,7,3,8,7,4,4,1,5,2,2,8,7,2,5,0.5269,MEDIUM
3,2,6,3,5,9,4,2,10,7,9,7,4,7,5,8,1,5,7,6,0.6143,HIGH
7,9,10,7,10,9,8,1,4,7,9,9,4,1,1,5,9,4,8,10,0.5784,MEDIUM
4,7,4,2,6,10,3,3,10,2,3,8,1,7,6,10,4,5,2,1,0.4082,MEDIUM
5,1,7,3,10,2,2,9,8,3,3,9,3,5,8,2,9,4,1,2,0.383,MEDIUM
9,2,8,10,7,1,8,6,8,9,10,9,5,10,8,5,10,10,8,10,0.6612,HIGH
10,1,6,3,3,2,8,2,2,5,9,7,6,7,6,9,2,9,10,9,0.457,MEDIUM
2,1,7,2,8,4,6,7,4,2,7,4,2,3,10,8,6,6,8,3,0.4518,MEDIUM
7,2,7,10,5,10,7,4,8,9,9,2,2,10,4,9,10,10,10,1,0.6997,HIGH
7,9,3,1,2,4,1,8,2,7,8,6,4,3,2,7,4,4,7,2,0.448,MEDIUM
4,2,8,10,9,6,5,10,1,1,5,10,1,4,8,3,10,6,5,6,0.3973,MEDIUM
9,6,9,4,6,7,4,10,10,9,2,3,8,5,4,10,3,3,6,6,0.615,HIGH
2,8,5,2,10,3,6,9,2,5,8,7,3,2,3,4,7,1,2,9,0.3954,MEDIUM
7,4,10,10,5,6,5,2,4,9,5,6,4,2,6,7,4,1,10,4,0.4199,MEDIUM
1,8,10,7,9,6,10,1,10,7,5,6,10,9,8,3,5,1,9,10,0.3629,MEDIUM
10,3,2,8,8,4,6,2,7,7,9,2,2,4,4,10,8,4,7,8,0.6433,HIGH
1,8,3,2,8,4,5,1,3,5,3,3,3,5,2,10,9,4,1,7,0.5153,MEDIUM
4,3,4,7,6,5,1,2,9,2,5,5,5,3,5,9,5,3,1,3,0.5442,MEDIUM
5,4,6,1,10,5,8,7,6,2,2,9,7,2,6,7,5,1,10,10,0.4373,MEDIUM
5,2,5,8,6,4,10,9,10,2,4,8,1,6,5,3,5,6,2,10,0.4537,MEDIUM
1,9,3,7,2,2,1,4,6,7,6,10,5,3,10,10,3,1,3,4,0.3854,MEDIUM
8,7,7,7,10,7,10,3,3,10,6,4,4,9,7,2,10,5,2,2,0.449,MEDIUM
9,4,10,1,10,4,5,3,5,3,5,1,7,7,3,9,4,5,7,4,0.5398,MEDIUM
4,5,9,9,10,4,4,5,4,8,6,2,9,7,7,10,5,1,9,7,0.6195,HIGH
6,5,3,5,4,9,3,7,10,3,9,6,6,1,8,5,4,6,1,10,0.5824,MEDIUM
6,3,9,9,10,6,10,5,8,1,4,10,7,10,7,5,6,4,6,10,0.5127,MEDIUM
2,8,7,6,1,5,8,2,9,9,4,1,1,10,10,6,5,3,9,9,0.4474,MEDIUM
8,4,5,5,10,7,7,9,7,7,8,10,9,10,10,5,8,1,7,2,0.5315,MEDIUM
8,1,7,10,1,2,5,10,8,2,2,1,4,9,5,8,2,6,7,8,0.5391,MEDIUM
6,7,7,6,1,6,2,9,9,7,1,2,7,8,5,5,10,3,4,5,0.5409,MEDIUM
4,6,10,7,10,9,6,1,5,6,1,6,7,7,10,4,8,6,5,1,0.448,MEDIUM
3,5,3,9,7,2,8,9,10,3,6,8,2,5,1,3,6,1,4,9,0.531,MEDIUM
6,8,7,3,7,5,9,2,7,4,9,5,10,4,7,9,1,7,4,6,0.429,MEDIUM
9,6,4,1,2,1,2,3,8,9,10,7,10,6,2,10,4,1,5,9,0.6264,HIGH
6,3,8,8,6,9,7,8,1,4,7,6,7,3,1,4,7,4,5,5,0.5114,MEDIUM
5,4,10,5,7,9,10,7,4,4,2,9,2,3,4,4,6,8,7,2,0.4047,MEDIUM
8,1,8,4,2,8,5,5,6,8,8,7,3,7,3,7,4,7,8,9,0.5534,MEDIUM
6,1,9,10,9,10,8,8,5,8,6,10,5,5,4,5,9,6,3,10,0.503,MEDIUM
6,4,8,8,5,1,4,8,7,8,7,9,8,5,1,5,3,1,8,7,0.5687,MEDIUM
8,6,2,5,10,8,6,4,5,2,2,6,8,4,4,1,10,10,1,1,0.5295,MEDIUM
1,10,5,1,7,6,7,6,9,3,4,5,5,6,4,9,6,7,6,4,0.4554,MEDIUM
6,3,4,3,7,7,1,1,1,5,8,1,10,2,2,1,4,5,10,6,0.5582,MEDIUM
7,2,2,10,10,9,10,10,7,6,2,2,9,2,6,9,4,8,5,7,0.6762,HIGH
7,2,5,5,8,8,7,2,9,7,9,8,1,5,8,10,7,7,7,9,0.5264,MEDIUM
3,10,1,6,3,6,7,6,10,10,6,1,9,10,2,5,3,4,4,1,0.5344,MEDIUM
3,10,3,8,7,5,1,6,5,8,4,10,9,7,3,3,2,5,1,6,0.5151,MEDIUM
2,4,2,9,7,7,1,5,8,5,8,4,4,9,10,2,5,8,9,6,0.5498,MEDIUM
3,5,8,5,5,3,1,4,6,10,5,5,2,1,3,4,9,8,4,6,0.5006,MEDIUM
2,9,7,7,5,8,8,5,2,4,2,4,6,2,9,4,1,3,6,9,0.3013,LOW
6,4,5,7,6,9,2,6,4,10,9,9,6,3,2,8,9,10,6,6,0.6742,HIGH
10,10,1,10,9,5,2,3,9,7,6,6,9,2,7,8,6,10,3,4,0.6097,HIGH
9,4,2,10,4,5,9,10,2,9,1,1,4,9,2,5,7,4,5,3,0.5132,MEDIUM
10,3,5,3,2,10,6,10,8,4,1,10,2,3,2,9,6,3,8,4,0.5577,MEDIUM
5,2,2,5,7,2,4,4,2,6,6,6,4,1,2,6,4,1,4,1,0.3984,MEDIUM
5,5,1,8,8,9,2,2,1,10,7,6,10,9,5,6,6,8,7,7,0.6287,HIGH
4,5,6,5,2,9,3,10,10,2,3,7,10,10,5,6,3,1,7,5,0.5414,MEDIUM
2,10,2,1,7,2,7,7,10,2,1,1,9,3,3,5,3,2,7,9,0.5015,MEDIUM
3,7,9,3,3,2,8,6,7,3,7,10,10,7,3,1,9,4,5,8,0.3816,MEDIUM
10,2,1,1,6,10,4,3,6,8,3,3,9,8,1,4,3,3,1,1,0.558,MEDIUM
8,5,9,6,10,8,3,5,4,9,8,2,3,10,6,2,5,6,3,1,0.5616,MEDIUM
6,9,1,3,9,7,1,7,1,5,9,1,3,3,5,1,7,6,5,8,0.5722,MEDIUM
5,8,7,10,6,1,10,1,5,2,9,10,9,6,7,7,5,4,1,2,0.3737,MEDIUM
7,6,6,7,3,4,9,9,8,9,9,9,8,7,6,7,10,10,4,2,0.5575,MEDIUM
4,7,1,7,3,3,10,1,2,2,4,9,7,1,5,8,10,5,8,2,0.3558,MEDIUM
10,10,1,4,9,1,4,6,2,5,9,10,6,4,9,3,10,5,5,2,0.459,MEDIUM
10,2,5,8,10,1,6,4,5,8,3,9,4,10,6,2,7,8,4,1,0.4682,MEDIUM
10,6,4,3,7,8,1,9,5,9,9,7,9,7,6,7,3,10,3,6,0.5276,MEDIUM
9,3,3,9,3,9,1,2,9,4,3,4,6,4,1,7,9,9,6,7,0.6786,HIGH
9,5,7,8,7,8,9,1,10,7,5,6,9,4,8,5,5,10,6,10,0.6139,HIGH
8,6,3,2,4,6,4,2,8,6,6,6,10,3,9,10,8,5,9,8,0.4721,MEDIUM
5,2,2,5,9,7,3,7,8,6,2,2,10,10,8,7,5,6,4,5,0.5929,MEDIUM
10,7,6,6,2,6,7,5,2,10,7,8,9,10,7,4,1,1,10,4,0.5081,MEDIUM
6,9,3,1,2,7,4,1,2,6,10,8,3,3,5,3,3,9,5,9,0.5045,MEDIUM
4,5,10,3,8,7,7,9,1,10,9,5,7,1,2,9,1,5,1,4,0.4731,MEDIUM
4,5,9,1,2,6,4,8,4,6,9,7,7,8,2,6,6,5,5,7,0.482,MEDIUM
1,6,4,10,3,7,1,10,7,8,5,7,3,8,3,1,6,4,7,5,0.5427,MEDIUM
10,10,2,2,10,3,9,6,7,8,3,9,6,1,3,2,6,6,4,9,0.5272,MEDIUM
4,1,8,8,6,6,9,3,2,3,7,3,7,5,4,10,6,7,8,9,0.5353,MEDIUM
5,5,7,1,8,9,10,1,8,6,2,10,10,2,10,9,2,8,8,6,0.4014,MEDIUM
6,2,3,10,5,5,2,5,10,3,6,4,2,7,5,10,9,3,9,4,0.6085,HIGH
